 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
0.3939890295935354,0.2722521158349665,-0.06830556745288803,-0.2885853990632408,-0.3210133095928572,-0.38309512558603587,-0.19481754417388947,-0.37452969660949564,0.0
-1.3272574336888352,-1.521272727929361,0.2717930671389803,0.2593806145105943,-0.34699026246924547,-0.4271373342351484,0.23837256449422178,-0.0160821240689791,0.0
0.7613059463512831,0.9863678267368838,-0.31230860635167124,-0.33434359486986115,-0.3353853411247268,-0.172383062813745,0.03855600491855244,-0.2898692849117199,0.0
1.7667865536152423,0.3447392741448442,-0.6644863079947623,-0.314056242908734,0.1619885992682824,-0.38240208058753256,-1.1851618878639185,-0.9276210017444246,0.0
-1.0220222493408477,-1.5297860806313583,0.38480030620106564,0.24092226244827383,-0.333804135313032,-0.26513584231046966,0.01576842537910566,-0.2683053379066042,0.0
0.3882069074573322,0.09638655037015179,-0.2152423230499389,-0.2717525530588694,-0.35924460762807553,-0.38240208058753256,0.26734310748094503,0.07369988381251515,0.0
-1.2347434795095849,-0.6057022654561054,0.6250978291193348,0.07505321101053344,4.355205273585656,-0.38240208058753256,-1.9918628324848417,-1.0077627881039741,0.0
-0.06371158581959854,1.3808779901345298,0.12282489233176755,-0.2774046826744428,-0.33355001293475917,-0.32476201443943414,0.2446848181537258,-0.06711865236361571,0.0
-0.6245774330313045,-0.9266007391253988,-0.09643423815484212,-0.10071623021245334,-0.33448179493214264,-0.39275166480143314,-0.10633296738169859,-0.3206853771197832,0.0
-0.07344989678583544,0.07069695263571224,-0.04945958542770992,-0.255812439351033,-0.2734077198391263,-0.38240208058753256,-0.5800677924517985,-0.6495111326068946,0.0
0.7418293244188093,-0.01747041479205971,-0.49373427450887025,-0.29201681121840567,-0.25748271830036107,0.12721080607654828,-0.501287242354163,-0.632217508238027,0.0
-0.5494098452606635,-0.8799074617778105,-0.02403509812303139,-0.16471784598632322,-0.36144700148305275,-0.7426340727939171,0.7266136131807117,0.9378109992952914,0.0
1.3888183592381729,0.18890998383914184,-0.9189255628925144,-0.1970787535880551,-0.3305852520125039,-0.40200068967755803,0.3216621389920194,0.07841460061967918,0.0
0.6891815807575912,0.31968604068989637,-0.2213204886165053,-0.2368846979712136,-0.24878608623472936,-0.023528215549413516,-0.6252631836765207,-0.6838891467963429,0.0
-0.33790590396270603,0.488271080858713,-0.11464086882265113,-0.25739596723669605,-0.3632258580296519,-0.5719758098117406,0.5977196107247,0.3581053237041083,0.0
0.56745269367963,1.0283110156279274,-0.3366986365196137,-0.3530591558366974,-0.3521574172464779,-0.641524238741704,0.3043286779326651,0.23966081077922216,0.0
1.5211985239354557,1.4967405131720875,-0.7055044013653905,-0.3822583064632134,4.203494222131789,1.362074243366017,-1.9566105936316125,-0.9905912445239997,0.0
-0.25239136079043833,0.020196979425787975,-0.09348368037035656,-0.2598312716037007,-0.412045587963838,-0.8665781323647143,3.191940260953426,4.344382582426607,0.0
0.1846153438194422,0.9975693417012511,-0.2213204886165053,-0.3700392438131876,-0.3076295317017393,-0.17186263115441783,-0.13064790169172438,-0.3758127073860212,0.0
0.8602106671021266,1.9756245333370723,-0.43382131613004415,-0.4161142179394114,0.6375362519815045,2.10709742402583,-1.4547812677470107,-0.983342255574605,0.0
